Index,Load,Depth,HARDNESS,MODULUS,H/E,X Position,Y Position,Z Position
Integer,mN,nm,GPa,GPa,None,µm,µm,µm
1,0.39983,49.67255,4.77523,92.93345,0.05138,0,198.97725,-4.40718
2,0.39994,54.59492,4.00909,85.31015,0.04699,0,197.97712,-4.39941
3,0.39988,54.74223,4.0492,81.78634,0.04951,0,196.977,-4.41727
4,0.39991,117.65501,0.92557,73.20078,0.01264,0,195.97687,-4.44392
5,0.39979,63.63496,3.04986,72.11861,0.04229,0,194.97675,-4.3928
6,0.40005,53.56905,4.12617,88.35413,0.0467,0,193.97662,-4.37986
7,0.39937,51.95455,4.40469,88.25525,0.04991,0,192.9765,-4.3811
8,0.3998,46.07314,5.58406,96.20183,0.05805,0,191.97638,-4.38261
9,0.39987,48.10395,5.11563,93.77882,0.05455,0,190.97625,-4.38112
10,0.39981,61.52114,3.02254,96.28782,0.03139,0,189.97612,-4.41806
11,0.39963,107.30965,1.10343,68.50473,0.01611,0,188.976,-4.40481
12,0.39978,106.08695,1.12447,70.43278,0.01597,0,187.97587,-4.40445
13,0.39989,103.83204,1.17412,68.64936,0.0171,0,186.97575,-4.40077
14,0.39968,96.17337,1.36651,64.7054,0.02112,0,185.97562,-4.39954
15,0.39982,94.01823,1.38887,79.8726,0.01739,0,184.9755,-4.38304
16,0.39971,50.98424,4.70909,83.73381,0.05624,0,183.97537,-4.32127
17,0.39987,47.90193,5.0958,96.6767,0.05271,0,182.97525,-4.2819
18,0.39997,45.75184,5.59719,99.14691,0.05645,0,181.97512,-4.26734
19,0.39997,42.71739,6.74177,95.76139,0.0704,0,180.975,-4.25628
20,0.39975,70.53189,2.53395,64.71137,0.03916,0,179.97487,-4.19137
21,0.39992,44.76492,5.82326,101.3999,0.05743,0,178.97475,-4.14563
22,0.39989,46.83406,5.42881,94.2864,0.05758,0,177.97463,-4.11559
23,0.39985,47.92536,5.18519,92.76292,0.0559,0,176.9745,-4.09063
24,0.39982,47.06421,5.30187,96.73447,0.05481,0,175.97437,-4.07666
25,0.39991,49.07579,4.98001,89.96742,0.05535,0,174.97425,-4.05671
