Index,Load,Depth,HARDNESS,MODULUS,H/E,X Position,Y Position,Z Position
Integer,mN,nm,GPa,GPa,None,µm,µm,µm
1,1.24953,110.90715,3.77186,189.57566,0.0199,0,198.97725,-2.40336
2,1.24953,105.39438,4.14124,205.87897,0.02011,0,197.97713,-2.39785
3,1.24959,106.0223,4.15278,184.6748,0.02249,0,196.977,-2.38577
4,1.24933,125.22738,3.04185,145.75739,0.02087,0,195.97688,-2.36904
5,1.24944,117.95267,3.37173,170.11072,0.01982,0,194.97675,-2.37806
6,1.24953,105.99216,4.13874,189.78375,0.02181,0,193.97663,-2.37455
7,1.24927,107.09496,4.01217,203.96631,0.01967,0,192.9765,-2.36976
8,1.24962,117.0479,3.41701,173.59549,0.01968,0,191.97638,-2.35304
9,1.24964,105.02609,4.22782,186.81914,0.02263,0,190.97625,-2.35939
10,1.24951,105.47926,4.22394,177.00075,0.02386,0,189.97613,-2.36687
11,1.2494,106.01634,4.15051,185.29027,0.0224,0,188.976,-2.35731
12,1.24943,110.36968,3.78177,200.87121,0.01883,0,187.97588,-2.34118
13,1.2496,103.68879,4.2887,203.47878,0.02108,0,186.97575,-2.34292
14,1.24957,105.1949,4.20971,187.97825,0.02239,0,185.97563,-2.34466
15,1.2497,101.85268,4.40485,219.21046,0.02009,0,184.9755,-2.336
16,1.24968,101.89102,4.48388,192.05429,0.02335,0,183.97537,-2.32569
17,1.24957,115.27107,3.53302,170.79866,0.02069,0,182.97525,-2.31097
18,1.24981,103.35892,4.29858,210.30287,0.02044,0,181.97513,-2.31789
19,1.24944,104.60613,4.19313,210.35558,0.01993,0,180.975,-2.31461
20,1.24941,101.82222,4.41454,216.12077,0.02043,0,179.97488,-2.31126
21,1.24958,102.3548,4.41397,200.32191,0.02203,0,178.97475,-2.30237
22,1.24959,101.79299,4.44282,207.30043,0.02143,0,177.97463,-2.29638
23,1.24962,112.62033,3.64715,193.4712,0.01885,0,176.9745,-2.28273
24,1.24938,108.48622,3.89041,212.11013,0.01834,0,175.97438,-2.27941
25,1.24952,112.43861,3.63066,206.77282,0.01756,0,174.97425,-2.27214
26,1.24961,103.64419,4.34094,188.13281,0.02307,0,173.97413,-2.27436
27,1.24943,106.54737,4.0776,195.45096,0.02086,0,172.974,-2.2653
28,1.24959,104.12793,4.23643,209.06895,0.02026,0,171.97388,-2.26198
29,1.24979,102.45761,4.43311,192.00924,0.02309,0,170.97375,-2.25773
