Index,Load,Depth,HARDNESS,MODULUS,H/E,X Position,Y Position,Z Position
Integer,mN,nm,GPa,GPa,None,µm,µm,µm
1,9.99814,342.76765,3.71158,221.01091,0.01679,0,696.468,-5.88935
2,9.9988,329.89636,4.00795,232.00709,0.01728,0,692.99138,-5.87487
3,9.99886,344.39777,3.67079,223.18974,0.01645,0,689.46713,-5.83044
4,9.99885,333.80737,3.92485,222.93943,0.0176,0,685.9905,-5.80883
5,9.99894,332.60617,3.93929,231.53436,0.01701,0,682.46625,-5.77819
6,9.999,334.1571,3.90014,231.64453,0.01684,0,678.98963,-5.74133
7,9.99896,297.11231,5.06156,222.01099,0.0228,0,675.46538,-5.70141
8,9.99878,339.67559,3.77598,225.79754,0.01672,0,671.98875,-5.68279
9,9.99893,338.69026,3.79701,227.25651,0.01671,0,668.4645,-5.65165
10,9.99848,362.29615,3.32657,203.11703,0.01638,0,664.98788,-5.60928
11,9.99877,341.07534,3.73761,229.01216,0.01632,0,661.46363,-5.60928
12,9.99866,332.10417,3.9403,238.17619,0.01654,0,657.987,-5.60289
13,9.99891,343.56016,3.6946,220.45406,0.01676,0,654.46275,-5.58701
14,9.99905,345.08144,3.65031,226.30287,0.01613,0,650.98613,-5.59401
15,9.99853,333.62457,3.96311,206.86246,0.01916,0,647.46188,-5.57205
16,9.99894,348.73456,3.58365,217.46562,0.01648,0,643.98525,-5.56222
17,9.99896,336.17734,3.86129,225.38537,0.01713,0,640.461,-5.5503
18,9.99864,334.75008,3.90472,221.04221,0.01767,0,636.98438,-5.52163
19,9.99869,344.42358,3.66955,223.54196,0.01642,0,633.46013,-5.47817
20,9.99833,337.48836,3.85795,210.41148,0.01834,0,629.9835,-5.45097
21,9.99847,334.42066,3.94657,205.16042,0.01924,0,626.45925,-5.40072
22,9.99846,342.93607,3.68734,233.53263,0.01579,0,622.98263,-5.35402
23,9.99859,332.70677,3.97556,211.87628,0.01876,0,619.45838,-5.32445
24,9.99832,342.47052,3.74992,204.599,0.01833,0,615.98175,-5.30211
